buy,sell,exchange,tiker,time
0.07816030550883245,0.9218396944911674,Bybit,39510.0,2022-02-05 00:32:21
0.27166344101039525,0.7283365589896048,Binance,39511.05,2022-02-05 00:32:21
0.2104839290555062,0.7895160709444938,Coinbase Pro,39488.02,2022-02-05 00:32:21
0.45249764600787085,0.5475023539921293,FTX,39511.0,2022-02-05 00:32:21
0.7379336110699911,0.26206638893000894,Bybit,39532.0,2022-02-05 00:32:21
0.5127837713013512,0.4872162286986488,Binance,39532.6,2022-02-05 00:32:21
0.42309394201939304,0.5769060579806069,Coinbase Pro,39503.98,2022-02-05 00:32:21
0.4530155642023347,0.5469844357976653,FTX,39519.0,2022-02-05 00:32:21
0.41693619797735004,0.58306380202265,Bybit,39514.5,2022-02-05 00:32:21
0.8061792434970277,0.19382075650297223,Binance,39517.83,2022-02-05 00:32:21
0.33010396406234677,0.6698960359376532,Coinbase Pro,39497.13,2022-02-05 00:32:21
0.5005957636489882,0.49940423635101183,FTX,39521.0,2022-02-05 00:32:21
0.6023644971013392,0.39763550289866084,Bybit,39530.0,2022-02-05 00:32:21
0.8313054309125608,0.16869456908743924,Binance,39523.8,2022-02-05 00:32:21
0.14977456624325963,0.8502254337567403,Coinbase Pro,39511.55,2022-02-05 00:32:21
0.41437576972050016,0.5856242302794998,FTX,39517.0,2022-02-05 00:32:21
0.41300235945635,0.58699764054365,Bybit,39526.0,2022-02-05 00:32:21
0.14124885716394942,0.8587511428360506,Binance,39531.74,2022-02-05 00:32:21
0.3633813437687989,0.6366186562312011,Coinbase Pro,39499.14,2022-02-05 00:32:21
0.47172696352783205,0.528273036472168,FTX,39523.0,2022-02-05 00:32:21
0.1990654863932001,0.8009345136067999,Bybit,39519.5,2022-02-05 00:32:21
0.19942292042746024,0.8005770795725398,Binance,39539.34,2022-02-05 00:32:21
0.14037942673878953,0.8596205732612104,Coinbase Pro,39493.31,2022-02-05 00:32:21
0.4763793088221007,0.5236206911778993,FTX,39529.0,2022-02-05 00:32:21
0.48579241879330354,0.5142075812066964,Bybit,39525.5,2022-02-05 00:32:21
0.31348526764150525,0.6865147323584947,Binance,39539.39,2022-02-05 00:32:21
0.5248302275448392,0.4751697724551607,Coinbase Pro,39518.46,2022-02-05 00:32:21
0.5945818184346084,0.40541818156539144,FTX,39535.0,2022-02-05 00:32:21
0.4003639326039454,0.5996360673960545,Bybit,39509.5,2022-02-05 00:32:21
0.23233253691816114,0.7676674630818388,Binance,39513.95,2022-02-05 00:32:21
0.3998401245539642,0.6001598754460357,Coinbase Pro,39518.46,2022-02-05 00:32:21
0.41761440360090013,0.5823855963990998,FTX,39509.0,2022-02-05 00:32:21
0.7062120279935399,0.29378797200646006,Bybit,39510.0,2022-02-05 00:32:21
0.4821857525399701,0.5178142474600299,Binance,39532.57,2022-02-05 00:32:21
0.34152928093491436,0.6584707190650857,Coinbase Pro,39526.21,2022-02-05 00:32:21
0.4850435766150614,0.5149564233849385,FTX,39529.0,2022-02-05 00:32:21
0.6492772225787722,0.3507227774212279,Bybit,39558.0,2022-02-05 00:32:21
0.16323923576110336,0.8367607642388967,Binance,39544.1,2022-02-05 00:32:21
0.21537153959698346,0.7846284604030166,Coinbase Pro,39547.42,2022-02-05 00:32:21
0.44206092663336266,0.5579390733666373,FTX,39549.0,2022-02-05 00:32:21
0.9284879226142214,0.07151207738577868,Bybit,39556.0,2022-02-05 00:32:21
0.4232929240604686,0.5767070759395314,Binance,39570.0,2022-02-05 00:32:21
0.34908673148410035,0.6509132685158996,Coinbase Pro,39539.61,2022-02-05 00:32:21
0.4098201992938835,0.5901798007061165,FTX,39573.0,2022-02-05 00:32:21
0.46204894234757365,0.5379510576524263,Bybit,39620.0,2022-02-05 00:32:21
0.3129571153542987,0.6870428846457014,Binance,39612.48,2022-02-05 00:32:21
0.50350095040589,0.49649904959410995,Coinbase Pro,39605.46,2022-02-05 00:32:21
0.49696712362004125,0.5030328763799587,FTX,39606.0,2022-02-05 00:32:21
0.3695260070522091,0.6304739929477909,Bybit,39589.0,2022-02-05 00:32:21
0.30411714522782785,0.6958828547721722,Binance,39595.66,2022-02-05 00:32:21
0.29352792104397213,0.7064720789560278,Coinbase Pro,39573.51,2022-02-05 00:32:21
0.34752570694087404,0.6524742930591261,FTX,39586.0,2022-02-05 00:32:21
0.4417620300675194,0.5582379699324806,Bybit,39600.0,2022-02-05 00:32:21
0.21843919941694226,0.7815608005830578,Binance,39614.01,2022-02-05 00:32:21
0.5885293583849586,0.41147064161504154,Coinbase Pro,39597.08,2022-02-05 00:32:21
0.44839789834753496,0.551602101652465,FTX,39613.0,2022-02-05 00:32:21
0.9431633730966429,0.056836626903357126,Bybit,39600.5,2022-02-05 00:32:21
0.21547696251397874,0.7845230374860213,Binance,39599.99,2022-02-05 00:32:21
0.37861334525054885,0.6213866547494511,Coinbase Pro,39600.33,2022-02-05 00:32:21
0.4400334369683816,0.5599665630316185,FTX,39596.0,2022-02-05 00:32:21
0.3393193037152507,0.6606806962847492,Bybit,39591.0,2022-02-05 00:32:21
0.3601751435365076,0.6398248564634924,Binance,39594.31,2022-02-05 00:32:21
0.279918484485909,0.7200815155140909,Coinbase Pro,39576.36,2022-02-05 00:32:21
0.30951964410676797,0.6904803558932319,FTX,39594.0,2022-02-05 00:32:21
0.9511885794404437,0.04881142055955644,Bybit,39619.5,2022-02-05 00:32:21
0.6403572331859103,0.3596427668140898,Binance,39635.14,2022-02-05 00:32:21
0.1585822529645828,0.8414177470354172,Coinbase Pro,39624.44,2022-02-05 00:32:21
