ask,bid,exchange,tiker,time
0.8174711513188574,0.18252884868114258,Bybit,41389.0,2022-02-06 08:55:23
0.1912426722154419,0.8087573277845581,Binance,41402.93,2022-02-06 08:55:23
0.6010006305944278,0.39899936940557224,Coinbase Pro,41376.55,2022-02-06 08:55:23
0.4323118032241331,0.567688196775867,FTX,41388.0,2022-02-06 08:55:23
0.02370052553785514,0.9762994744621449,Bybit,41388.5,2022-02-06 08:55:30
0.2551043293520856,0.7448956706479144,Binance,41392.19,2022-02-06 08:55:30
0.43209458796482225,0.5679054120351777,Coinbase Pro,41376.55,2022-02-06 08:55:30
0.2089402923163263,0.7910597076836737,FTX,41388.0,2022-02-06 08:55:30
0.07578226473019246,0.9242177352698075,Bybit,41387.0,2022-02-06 08:55:37
0.3102779052818915,0.6897220947181085,Binance,41398.12,2022-02-06 08:55:37
0.230054903729998,0.7699450962700021,Coinbase Pro,41376.55,2022-02-06 08:55:37
0.3228508530544854,0.6771491469455145,FTX,41388.0,2022-02-06 08:55:37
0.8499064451407832,0.15009355485921683,Bybit,41387.0,2022-02-06 08:55:59
0.25985327621163845,0.7401467237883615,Binance,41398.0,2022-02-06 08:55:59
0.46449293952871684,0.535507060471283,Coinbase Pro,41386.35,2022-02-06 08:55:59
0.5144288732316472,0.4855711267683526,FTX,41399.0,2022-02-06 08:55:59
0.8314899105964684,0.16851008940353165,Bybit,41387.0,2022-02-06 08:56:05
0.05727665593813388,0.9427233440618662,Binance,41398.0,2022-02-06 08:56:05
0.4491602546436867,0.5508397453563133,Coinbase Pro,41386.35,2022-02-06 08:56:05
0.4235517215735851,0.5764482784264148,FTX,41399.0,2022-02-06 08:56:05
0.6628337174787586,0.3371662825212414,Bybit,41387.5,2022-02-06 08:56:13
0.15646172837754424,0.8435382716224556,Binance,41405.81,2022-02-06 08:56:13
0.5369308797254904,0.4630691202745095,Coinbase Pro,41386.35,2022-02-06 08:56:13
0.7175237014607072,0.2824762985392928,FTX,41399.0,2022-02-06 08:56:13
0.4282565571963853,0.5717434428036147,Bybit,41387.5,2022-02-06 08:56:20
0.10918262622220738,0.8908173737777927,Binance,41404.53,2022-02-06 08:56:20
0.3201943832503486,0.6798056167496513,Coinbase Pro,41386.35,2022-02-06 08:56:20
0.381440890361497,0.6185591096385031,FTX,41410.0,2022-02-06 08:56:20
0.3565111488916498,0.6434888511083502,Bybit,41387.5,2022-02-06 08:56:28
0.18859852020551784,0.8114014797944822,Binance,41398.0,2022-02-06 08:56:28
0.5376678567322101,0.46233214326778993,Coinbase Pro,41386.35,2022-02-06 08:56:28
0.4419884099078172,0.5580115900921828,FTX,41397.0,2022-02-06 08:56:28
0.3262606305300232,0.6737393694699768,Bybit,41387.5,2022-02-06 08:56:35
0.15930759348164175,0.8406924065183583,Binance,41395.65,2022-02-06 08:56:35
0.5377325353831003,0.46226746461689966,Coinbase Pro,41386.35,2022-02-06 08:56:35
0.46399197592778335,0.5360080240722167,FTX,41397.0,2022-02-06 08:56:35
0.4247872544628574,0.5752127455371425,Bybit,41387.0,2022-02-06 08:56:44
0.15514981696569802,0.844850183034302,Binance,41402.93,2022-02-06 08:56:44
0.5128091417797659,0.48719085822023417,Coinbase Pro,41399.91,2022-02-06 08:56:44
0.340161988749982,0.659838011250018,FTX,41394.0,2022-02-06 08:56:44
0.4599219405199664,0.5400780594800336,Bybit,41387.5,2022-02-06 08:56:51
0.41039202746138836,0.5896079725386116,Binance,41408.04,2022-02-06 08:56:51
0.5275456468035434,0.47245435319645657,Coinbase Pro,41399.91,2022-02-06 08:56:51
0.49476095533025066,0.5052390446697493,FTX,41409.0,2022-02-06 08:56:51
0.5243643984337454,0.4756356015662547,Bybit,41387.0,2022-02-06 08:56:58
0.5339857225808655,0.4660142774191344,Binance,41404.99,2022-02-06 08:56:58
0.5323027002274966,0.46769729977250335,Coinbase Pro,41399.91,2022-02-06 08:56:58
0.4730398992906625,0.5269601007093375,FTX,41409.0,2022-02-06 08:56:58
0.36545073939251277,0.6345492606074873,Bybit,41387.0,2022-02-06 08:57:06
0.41479594232846473,0.5852040576715353,Binance,41400.0,2022-02-06 08:57:06
0.5228742651543566,0.47712573484564325,Coinbase Pro,41384.84,2022-02-06 08:57:06
0.32601144704648727,0.6739885529535127,FTX,41400.0,2022-02-06 08:57:06
0.6800103020714522,0.3199896979285478,Bybit,41387.0,2022-02-06 08:57:14
0.27880901012282755,0.7211909898771725,Binance,41394.41,2022-02-06 08:57:14
0.5349513456187063,0.46504865438129384,Coinbase Pro,41384.84,2022-02-06 08:57:14
0.36652047504065444,0.6334795249593456,FTX,41400.0,2022-02-06 08:57:14
0.6846082763794727,0.3153917236205272,Bybit,41387.5,2022-02-06 08:57:21
0.19984985321470997,0.8001501467852901,Binance,41392.72,2022-02-06 08:57:21
0.539973307009193,0.460026692990807,Coinbase Pro,41398.79,2022-02-06 08:57:21
0.41850667294851,0.58149332705149,FTX,41400.0,2022-02-06 08:57:21
0.5983518669041732,0.4016481330958269,Bybit,41387.5,2022-02-06 08:57:28
0.13701889218114163,0.8629811078188584,Binance,41400.01,2022-02-06 08:57:28
0.42549275840934203,0.5745072415906579,Coinbase Pro,41398.79,2022-02-06 08:57:28
0.4665912565505174,0.5334087434494826,FTX,41400.0,2022-02-06 08:57:28
0.6004075535561638,0.3995924464438361,Bybit,41387.0,2022-02-06 08:57:35
0.12911973867156842,0.8708802613284317,Binance,41398.49,2022-02-06 08:57:35
0.5112032387033164,0.4887967612966836,Coinbase Pro,41398.79,2022-02-06 08:57:35
