buy,sell,exchange,tiker,time
0.9241534261701736,0.07584657382982637,Bybit,40535.0,2022-02-05 06:57:09
0.38309972380747714,0.6169002761925229,Binance,40546.91,2022-02-05 06:57:09
0.4393418516163805,0.5606581483836195,Coinbase Pro,40567.3,2022-02-05 06:57:09
0.20587099732149317,0.7941290026785067,FTX,40548.0,2022-02-05 06:57:09
0.866219829232532,0.13378017076746798,Bybit,40530.5,2022-02-05 06:57:09
0.2901128641609712,0.7098871358390288,Binance,40540.35,2022-02-05 06:57:09
0.4355028445041707,0.5644971554958294,Coinbase Pro,40567.3,2022-02-05 06:57:09
0.4833010257652855,0.5166989742347144,FTX,40543.0,2022-02-05 06:57:09
0.10829490033927054,0.8917050996607295,Bybit,40520.0,2022-02-05 06:57:09
0.3817800196737812,0.6182199803262187,Binance,40533.74,2022-02-05 06:57:09
0.36311875624402146,0.6368812437559784,Coinbase Pro,40567.3,2022-02-05 06:57:09
0.41680806787257885,0.5831919321274212,FTX,40525.0,2022-02-05 06:57:09
0.8548684159327619,0.14513158406723825,Bybit,40513.5,2022-02-05 06:57:09
0.3062824956672444,0.6937175043327556,Binance,40528.49,2022-02-05 06:57:09
0.3453905874457,0.6546094125543,Coinbase Pro,40567.3,2022-02-05 06:57:09
0.34993629324708414,0.6500637067529158,FTX,40526.0,2022-02-05 06:57:09
0.14485151028005755,0.8551484897199424,Bybit,40537.0,2022-02-05 06:57:09
0.1719260106837253,0.8280739893162747,Binance,40569.05,2022-02-05 06:57:09
0.4342315633898536,0.5657684366101464,Coinbase Pro,40541.39,2022-02-05 06:57:09
0.3721248295871641,0.627875170412836,FTX,40563.0,2022-02-05 06:57:09
0.7718882705545078,0.22811172944549207,Bybit,40550.0,2022-02-05 06:57:09
0.517688674646168,0.482311325353832,Binance,40580.53,2022-02-05 06:57:09
0.4249537819786106,0.5750462180213894,Coinbase Pro,40580.27,2022-02-05 06:57:09
0.46796306320135084,0.5320369367986492,FTX,40571.0,2022-02-05 06:57:09
0.11907484359167433,0.8809251564083257,Bybit,40549.5,2022-02-05 06:57:09
0.35161551565248966,0.6483844843475104,Binance,40558.27,2022-02-05 06:57:09
0.3830759857654855,0.6169240142345146,Coinbase Pro,40580.27,2022-02-05 06:57:09
0.3067836071645898,0.6932163928354103,FTX,40561.0,2022-02-05 06:57:09
0.036100458757590846,0.9638995412424091,Bybit,40550.0,2022-02-05 06:57:09
0.13268827047376486,0.8673117295262351,Binance,40556.78,2022-02-05 06:57:09
0.3912682316344113,0.6087317683655886,Coinbase Pro,40580.27,2022-02-05 06:57:09
0.5054169202678028,0.4945830797321972,FTX,40553.0,2022-02-05 06:57:09
0.12523815078346745,0.8747618492165325,Bybit,40540.5,2022-02-05 06:57:09
0.39248860951738107,0.6075113904826189,Binance,40552.32,2022-02-05 06:57:09
0.4067831051273891,0.5932168948726109,Coinbase Pro,40538.59,2022-02-05 06:57:09
0.31915729969021117,0.6808427003097888,FTX,40552.0,2022-02-05 06:57:09
0.07883049592894151,0.9211695040710585,Bybit,40540.5,2022-02-05 06:57:09
0.3725554997939541,0.6274445002060459,Binance,40546.77,2022-02-05 06:57:09
0.41666948602408693,0.5833305139759132,Coinbase Pro,40554.36,2022-02-05 06:57:09
0.7034913294797688,0.2965086705202312,FTX,40549.0,2022-02-05 06:57:09
0.12555749703686506,0.874442502963135,Bybit,40540.0,2022-02-05 06:57:09
0.5357612584578312,0.46423874154216876,Binance,40548.27,2022-02-05 06:57:09
0.3672302591463245,0.6327697408536754,Coinbase Pro,40554.36,2022-02-05 06:57:09
0.30503809485819144,0.6949619051418087,FTX,40549.0,2022-02-05 06:57:09
0.9100346472311577,0.08996535276884227,Bybit,40540.5,2022-02-05 06:57:09
0.33140541068979823,0.6685945893102018,Binance,40543.18,2022-02-05 06:57:09
0.33114892510994287,0.6688510748900571,Coinbase Pro,40554.36,2022-02-05 06:57:09
0.48822652489402973,0.5117734751059703,FTX,40547.0,2022-02-05 06:57:09
0.05627560447942765,0.9437243955205724,Bybit,40540.0,2022-02-05 06:57:09
0.4149061564965092,0.5850938435034908,Binance,40543.27,2022-02-05 06:57:09
0.388157077439364,0.611842922560636,Coinbase Pro,40554.36,2022-02-05 06:57:09
0.36700327307892583,0.6329967269210741,FTX,40547.0,2022-02-05 06:57:09
0.06633393215523266,0.9336660678447674,Bybit,40521.0,2022-02-05 06:57:09
0.22742613872431003,0.7725738612756899,Binance,40531.63,2022-02-05 06:57:09
0.3810993418204648,0.6189006581795352,Coinbase Pro,40529.98,2022-02-05 06:57:09
0.66056875449964,0.3394312455003599,FTX,40538.0,2022-02-05 06:57:09
0.9041885295115775,0.09581147048842246,Bybit,40520.5,2022-02-05 06:57:09
0.3558049394240721,0.6441950605759279,Binance,40529.71,2022-02-05 06:57:09
0.4896452982866374,0.5103547017133625,Coinbase Pro,40533.86,2022-02-05 06:57:09
0.3973420523323628,0.6026579476676371,FTX,40538.0,2022-02-05 06:57:09
0.9047327647939586,0.09526723520604127,Bybit,40520.5,2022-02-05 06:57:09
0.36208718893635977,0.6379128110636402,Binance,40531.17,2022-02-05 06:57:09
0.559501030949782,0.4404989690502181,Coinbase Pro,40533.86,2022-02-05 06:57:09
0.39205180986756155,0.6079481901324385,FTX,40529.0,2022-02-05 06:57:09
0.24697784718607205,0.7530221528139279,Bybit,40614.0,2022-02-05 06:57:09
0.4087374577335257,0.5912625422664742,Binance,40615.35,2022-02-05 06:57:09
0.2856424445877331,0.714357555412267,Coinbase Pro,40614.52,2022-02-05 06:57:09
