,Bybit_ask,Bybit_bid,Bybit_tiker,Binance_ask,Binance_bid,Binance_tiker,Coinbase Pro_ask,Coinbase Pro_bid,Coinbase Pro_tiker,FTX_ask,FTX_bid,FTX_tiker
2022-02-22 23:59:38,0.35302998384944884,0.6469700161505513,38088.0,0.6230818378798822,0.37691816212011775,38138.66,0.45441464713756613,0.5455853528624339,38128.37,0.6334833163394168,0.36651668366058315,38148.0
2022-02-22 23:59:46,0.4907210335685747,0.5092789664314253,38094.0,0.05860987941356454,0.9413901205864353,38146.75,0.6191938239675393,0.3808061760324608,38128.37,0.5302224585659843,0.46977754143401573,38151.0
2022-02-22 23:59:55,0.5166323328726521,0.48336766712734797,38093.5,0.6562531182662305,0.34374688173376955,38141.66,0.34900348737137965,0.6509965126286203,38128.37,0.2505770957123927,0.7494229042876074,38153.0
2022-02-23 00:00:03,0.967604969334801,0.03239503066519893,38091.0,0.9017481396155532,0.09825186038444672,38117.81,0.48051150901943857,0.5194884909805615,38128.37,0.4141652027874833,0.5858347972125166,38123.0
2022-02-23 00:00:11,0.9098339387649196,0.09016606123508045,38045.5,0.3476325590141252,0.6523674409858748,38085.24,0.40461648240629644,0.5953835175937036,38097.33,0.7728597272323507,0.22714027276764917,38096.0
2022-02-23 00:00:19,0.7360552260721981,0.26394477392780186,38041.5,0.5671222249889861,0.43287777501101377,38088.26,0.5283432905980476,0.4716567094019523,38094.26,0.5328591453031057,0.46714085469689426,38099.0
2022-02-23 00:00:27,0.8759730266239415,0.1240269733760585,38031.5,0.8745842415708787,0.12541575842912137,38059.06,0.21946829876345503,0.780531701236545,38092.23,0.5476426307448494,0.45235736925515047,38069.0
2022-02-23 00:00:35,0.15392885609950507,0.8460711439004949,38009.5,0.5414474544705622,0.4585525455294377,38053.48,0.3067877955730846,0.6932122044269154,38057.73,0.5452483058413711,0.45475169415862887,38062.0
2022-02-23 00:00:43,0.6196323502539927,0.38036764974600745,38010.0,0.3223684210526315,0.6776315789473685,38047.11,0.4217453800635769,0.5782546199364231,38057.73,0.537599655246714,0.4624003447532859,38058.0
2022-02-23 00:00:52,0.8816270462956656,0.1183729537043344,38009.5,0.5799147649796851,0.420085235020315,38047.01,0.4748736390091912,0.5251263609908087,38042.08,0.6006550406527422,0.3993449593472578,38039.0
2022-02-23 00:01:00,0.9360605923171118,0.06393940768288811,37987.0,0.0556073518562939,0.944392648143706,38025.99,0.48596230147536273,0.5140376985246373,38042.08,0.7010423328896649,0.29895766711033517,38031.0
2022-02-23 00:01:08,0.8180282614570865,0.18197173854291346,37981.5,0.7924991349062096,0.20750086509379034,38011.57,0.4093493533944563,0.5906506466055437,38026.41,0.25718618253320225,0.7428138174667978,38020.0
2022-02-23 00:01:16,0.6216131025178723,0.3783868974821278,37970.0,0.6559316625346719,0.34406833746532806,38000.69,0.6481660230556634,0.3518339769443367,38004.43,0.4226198583492236,0.5773801416507764,38010.0
2022-02-23 00:01:25,0.9201945791371379,0.0798054208628621,37980.5,0.4453238722757223,0.5546761277242778,38007.44,0.43707714430222955,0.5629228556977705,38033.19,0.30188329772244676,0.6981167022775532,38016.0
2022-02-23 00:01:33,0.873749746725856,0.12625025327414394,37970.0,0.1352837761528531,0.8647162238471469,38003.56,0.5237259251542575,0.47627407484574247,38008.41,0.4400833704128709,0.5599166295871291,38013.0
2022-02-23 00:01:41,0.6038138436350949,0.39618615636490506,37959.5,0.3228887517730819,0.677111248226918,37990.36,0.44508751927658435,0.5549124807234157,38008.41,0.6143084189555212,0.3856915810444788,37997.0
2022-02-23 00:01:50,0.2506156589673913,0.7493843410326086,37933.5,0.5584171601915981,0.4415828398084019,37986.09,0.5982224949510765,0.4017775050489236,38008.41,0.6987513682999684,0.3012486317000315,37986.0
2022-02-23 00:01:59,0.2047815590686084,0.7952184409313917,37934.0,0.3842317227142449,0.6157682772857551,37994.48,0.6216082622905345,0.3783917377094656,37998.0,0.5397013307469584,0.4602986692530416,38002.0
2022-02-23 00:02:07,0.7616783024788202,0.23832169752117985,37966.5,0.9659732547604317,0.03402674523956818,37994.48,0.5477562424264327,0.4522437575735674,37998.0,0.7522616893629178,0.24773831063708215,38020.0
2022-02-23 00:02:15,0.4130529222844553,0.5869470777155447,37965.0,0.8451658083745399,0.1548341916254601,38009.94,0.5126666609741041,0.48733333902589593,37998.0,0.5518484692809711,0.4481515307190288,38025.0
2022-02-23 00:02:24,0.8370203343693501,0.16297966563064983,37977.5,0.8469047007449267,0.15309529925507323,38012.35,0.6507918392701888,0.3492081607298112,38016.04,0.4369766358835573,0.5630233641164427,38015.0
2022-02-23 00:02:32,0.7219669074807737,0.27803309251922625,37977.0,0.7597476541377299,0.24025234586227,38024.19,0.584440459655661,0.415559540344339,38000.16,0.7452183510754171,0.2547816489245828,38020.0
2022-02-23 00:02:40,0.37733464180569193,0.6226653581943081,37980.0,0.7066454441155224,0.29335455588447756,38040.19,0.6038440218132176,0.3961559781867823,38000.16,0.5648433957019764,0.4351566042980235,38042.0
2022-02-23 00:02:49,0.586434317878159,0.41356568212184097,37980.0,0.31372006386375734,0.6862799361362427,38025.22,0.6240814582680497,0.37591854173195016,38000.16,0.5565625928159342,0.4434374071840658,38048.0
2022-02-23 00:02:57,0.8378584628963893,0.16214153710361057,37963.0,0.24148362781175559,0.7585163721882444,38003.99,0.7378001222620212,0.26219987773797876,37999.77,0.6047217637349681,0.39527823626503183,38020.0
2022-02-23 00:03:05,0.7849651214564883,0.21503487854351158,37963.0,0.2813775551910365,0.7186224448089635,37995.64,0.4226768646077559,0.5773231353922441,38018.09,0.5918482691158089,0.4081517308841911,38008.0
2022-02-23 00:03:15,0.6570804034658028,0.3429195965341971,37963.0,0.6884511880904667,0.3115488119095334,38033.6,0.7676705070276346,0.2323294929723654,38018.85,0.4887544194982817,0.5112455805017183,38040.0
2022-02-23 00:03:23,0.5522678769465905,0.44773212305340954,37980.0,0.3072430110313448,0.6927569889686552,38025.87,0.48633025600446245,0.5136697439955376,38018.85,0.5347306137755741,0.46526938622442604,38035.0
2022-02-23 00:03:31,0.4469732976149326,0.5530267023850675,37979.5,0.2616922920163673,0.7383077079836327,38056.0,0.6865392517195782,0.31346074828042175,38032.12,0.42249022689719107,0.577509773102809,38067.0
2022-02-23 00:03:39,0.8452698854647852,0.1547301145352148,38009.5,0.6323499339549126,0.36765006604508754,38054.08,0.512034603322048,0.4879653966779521,38041.74,0.22109488729101417,0.7789051127089859,38061.0
2022-02-23 00:03:48,0.9623720713126231,0.03762792868737677,37991.0,0.8258705927092954,0.17412940729070464,38023.07,0.5650413509634278,0.4349586490365722,38041.37,0.5318962722852513,0.4681037277147488,38030.0
2022-02-23 00:03:56,0.7660103679013793,0.23398963209862073,37985.0,0.6294990861539363,0.37050091384606365,38042.78,0.6656050277595352,0.3343949722404647,38041.37,0.4476638311672113,0.5523361688327887,38038.0
2022-02-23 00:04:04,0.36516259333702317,0.6348374066629768,38010.0,0.6971105372371219,0.30288946276287804,38061.38,0.5368118230926391,0.4631881769073609,38041.37,0.5734958297207196,0.4265041702792805,38063.0
2022-02-23 00:04:12,0.3290643898968339,0.6709356101031662,38034.0,0.07150936889802607,0.9284906311019739,38083.97,0.5226823425292156,0.4773176574707843,38067.31,0.43147718921363565,0.5685228107863645,38094.0
2022-02-23 00:04:20,0.9126728227290376,0.08732717727096241,38020.5,0.6925723216398301,0.3074276783601699,38046.66,0.44406574665298154,0.5559342533470185,38067.31,0.532293475767605,0.467706524232395,38059.0
2022-02-23 00:04:28,0.9454242427095789,0.054575757290420995,38015.0,0.8722551846512144,0.12774481534878562,38043.71,0.20941999756497068,0.7905800024350292,38067.31,0.5118867541146457,0.4881132458853544,38052.0
2022-02-23 00:04:37,0.9550397523125144,0.04496024768748567,38000.0,0.9244865082561418,0.07551349174385823,38030.25,0.44518206706404057,0.5548179329359594,38062.37,0.4378274943219415,0.5621725056780585,38040.0
2022-02-23 00:04:45,0.8762605995044841,0.12373940049551593,37986.5,0.4804791779619446,0.5195208220380554,38027.41,0.31500748756649594,0.6849925124335041,38062.37,0.5998738435660219,0.4001261564339781,38040.0
